zipcode,E_TOTPOP.zip,SVI_SES,SVI_household.disability,SVI_minority.language,SVI_house.transport,SVI_overall,Town,eohhs,eohhs_name,town_population
01770,4301,0.0103,0.3502,0.1969,0.0123,0.0055,Sherborn,4,Metro West,4335
01772,10074,0.12604786579313082,0.38014703196347033,0.3892829461981338,0.2658495731586262,0.1983012705975779,Southborough,4,Metro West,10208
01773,11127,0.06129788802013121,0.4801555944998652,0.5154794823402534,0.233852260267817,0.21645894670621013,Lincoln,4,Metro West,7052
01775,7098,0.0322,0.4337,0.1005,0.0405,0.0226,Stow,4,Metro West,7234
01776,24144,0.03260469681908549,0.43204075132538106,0.395014844267727,0.21806220178926441,0.13693370195493704,Sudbury,4,Metro West,19655
01778,24940,0.030049811547714515,0.3672581676022454,0.3398312229350441,0.2917509623095429,0.13948717321571774,Wayland,4,Metro West,13835
01801,46820,0.34469835753951306,0.38890051900897055,0.5258192738146091,0.584628385305425,0.482981892353695,Woburn,4,Metro West,40228
01803,27059,0.25437577146236007,0.45628339923870065,0.5468525924830925,0.41947894600687385,0.392104416275546,Burlington,4,Metro West,28627
01810,35609,0.12100089303266029,0.3389176893481985,0.44498331882389286,0.32540831250526553,0.22199195708949984,Andover,3,Northeast,36356
01821,43044,0.3756568604218939,0.27864093718055943,0.4008887301366044,0.34973985689062353,0.3072051296347923,Billerica,3,Northeast,43367
01824,26692,0.1481201071482092,0.37196134422298816,0.2770767720665368,0.4065915480293721,0.21449178030870675,Chelmsford,3,Northeast,35391
01826,31266,0.535215793513721,0.48015453207957526,0.39980851084244867,0.24814923878973966,0.41074265016311645,Dracut,3,Northeast,31634
01827,3345,0.0946,0.1854,0.10249999999999998,0.0041,0.0021,Dunstable,3,Northeast,3403
01830,33373,0.6435146795313577,0.7333910466544812,0.565143286489078,0.5447212477152188,0.6617976238276451,Haverhill,3,Northeast,64014
01832,31630,0.651892077141954,0.7011306449573189,0.6069967151438508,0.5948307587733165,0.6664621719886183,Haverhill,3,Northeast,64014
01833,8649,0.09150506416926812,0.3237529887848306,0.1261191929702856,0.2829947508382472,0.09968745519713261,Georgetown,3,Northeast,8768
01834,6749,0.16719999999999996,0.3769,0.1265,0.0844,0.07690000000000001,Groveland,3,Northeast,6849
01835,13166,0.4017176287406958,0.48948616891994534,0.32129101473492333,0.31436345131399057,0.3672975998784749,Haverhill,3,Northeast,64014
01840,12057,0.9653631085676371,0.9226916645931824,0.9959048353653479,0.8189600232230241,0.9725645683005723,Lawrence,3,Northeast,80028
01841,60299,0.9184370636328961,0.7472642929401814,0.9719684339707126,0.7100622481301514,0.9036060133667224,Lawrence,3,Northeast,80028
01843,25454,0.8899993517718237,0.7838917301799323,0.9496476349493204,0.6920998860689872,0.8899307103009351,Lawrence,3,Northeast,80028
01844,50019,0.6358299506187649,0.6171142525840181,0.6650236190247705,0.44999960015194224,0.6068451288510366,Methuen,3,Northeast,50706
01845,30589,0.25857724018438,0.41143870345549055,0.39949060119650853,0.5302920821210239,0.39554672921638495,North Andover,3,Northeast,31188
01850,16267,0.8227494559537715,0.6411449376037377,0.8336791787053545,0.5210590274789452,0.7932513370627651,Lowell,3,Northeast,110997
01851,33231,0.8129321085733201,0.5297387890824833,0.9080662333363426,0.5811434383557521,0.7910683307754808,Lowell,3,Northeast,110997
01852,41529,0.8270896915408509,0.5692754605215633,0.8060888005971731,0.7118970984131571,0.8205147704014062,Lowell,3,Northeast,110997
01854,48235,0.8112464869907744,0.4495541577692547,0.7573189074323623,0.7993919664144293,0.7987539069140664,Lowell,3,Northeast,110997
01860,6839,0.4736,0.7326,0.0328,0.4623,0.43450000000000005,Merrimac,3,Northeast,6960
01862,33375,0.3417316374531835,0.3996307086142322,0.30822086292134826,0.4380102052434457,0.3459648389513109,Billerica,3,Northeast,43367
01863,14727,0.27454755211516263,0.625723718340463,0.25540663407347053,0.17469674068038296,0.26839437088341145,Chelmsford,3,Northeast,35391
01864,15642,0.12171980565145124,0.19178982866641092,0.2808537974683544,0.2220761283723309,0.13313501470400207,North Reading,3,Northeast,15865
01867,25100,0.11689760956175299,0.41386797609561754,0.20687868525896413,0.25180693227091633,0.15903009561752987,Reading,3,Northeast,25400
01876,31002,0.35407005999612934,0.5022931262499193,0.26573617508547837,0.3648480452874008,0.3247095735758983,Tewksbury,3,Northeast,31178
01879,19418,0.4449533680090637,0.3851255484601916,0.42368785662787106,0.2188118704294984,0.3243678030693172,Tyngsborough,3,Northeast,12527
01880,26960,0.26001169139465874,0.4078427448071216,0.2849349369436202,0.3634653635014837,0.27805251854599405,Wakefield,3,Northeast,27045
01886,24194,0.07528726957096801,0.31314365545176487,0.40451683888567413,0.1738474952467554,0.12429399851202777,Westford,3,Northeast,24817
01887,23658,0.20001171696677655,0.40341932538676134,0.285340975568518,0.4159317693803365,0.27092412291825174,Wilmington,4,Metro West,23445
01890,32289,0.16654757347703553,0.3592762674595063,0.47042292111864725,0.38019501068475325,0.2753842980581622,Winchester,4,Metro West,22799
01901,14897,0.8741385111096194,0.9209714372021212,0.9668236087802914,0.96180567228301,0.98063536282473,Lynn,3,Northeast,94299
01902,64594,0.8155668668916617,0.7751468851596123,0.9257824782487537,0.7289331656190977,0.8647117843762578,Lynn,3,Northeast,94299
01904,36704,0.6769982971883174,0.5632433222537053,0.7942625899084568,0.49357439516129026,0.6567103285745423,Lynn,3,Northeast,94299
01905,42502,0.6956640840431039,0.5792444355559738,0.8036162839395793,0.5830783374900005,0.6953532751399935,Lynn,3,Northeast,94299
01906,31692,0.5930892685851319,0.6784980626025495,0.4618964943834406,0.5474932443518868,0.6337984096932979,Saugus,3,Northeast,28361
01907,24046,0.3466005739000249,0.6817133702071031,0.41916727106379437,0.6331992098477918,0.5255620061548698,Swampscott,3,Northeast,15298
01908,3495,0.0267,0.6346999999999999,0.2187,0.2346,0.1421,Nahant,3,Northeast,3513
01913,17378,0.37007689607549776,0.6695881401772356,0.14727651053055585,0.49642898492346643,0.41872763839337096,Amesbury,3,Northeast,17532
01915,41731,0.37422065131437066,0.32426451319163213,0.25113591574608807,0.5198263640938391,0.36422173204572145,Beverly,3,Northeast,42174
01921,8270,0.0973,0.3721,0.1552,0.0165,0.0199,Boxford,3,Northeast,8332
01922,7031,0.2618,0.3892,0.1046,0.0857,0.1009,Newbury,3,Northeast,7148
01923,27631,0.34944018674676997,0.6229498136151425,0.2032244725127574,0.6119685244833701,0.454587333067931,Danvers,3,Northeast,27549
01929,3713,0.2193,0.6129,0.1196,0.0357,0.081,Essex,3,Northeast,3799
01930,30049,0.5188062198409266,0.45486013178475154,0.26703404106625844,0.3120140969749409,0.3608929248893474,Gloucester,3,Northeast,30430
01937,4283,0.4202,0.6101,0.5844,0.9609000000000001,0.7234,NA,NA,NA,NA
01938,13901,0.2900247248399396,0.5422229120207179,0.167317574275232,0.35323755125530537,0.2967161571109992,Ipswich,3,Northeast,14074
01940,29899,0.30440407371483996,0.4714545737315629,0.35025190474597817,0.14301116759757854,0.24240393993110138,Lynnfield,3,Northeast,12999
01944,5370,0.2207,0.6778,0.0902,0.1879,0.1784,Manchester,3,Northeast,5434
01945,20488,0.18775244533385396,0.6488869582194455,0.25560841468176493,0.07934544123389302,0.14663857868020305,Marblehead,3,Northeast,20555
01949,9779,0.4112,0.5363,0.3691,0.6433,0.523,Middleton,3,Northeast,10110
01950,17990,0.2052437909949972,0.40639141745414126,0.259878849360756,0.3271856864924958,0.24084038910505837,Newburyport,3,Northeast,18289
01951,7031,0.2618,0.3892,0.1046,0.0857,0.1009,Newbury,3,Northeast,7148
01952,9209,0.5190968400477793,0.49810507112607233,0.16529240959930502,0.6691163970029319,0.5102291128244109,Salisbury,3,Northeast,9534
01960,52865,0.5337438456445663,0.5857363283836187,0.4635206393644188,0.4872527494561619,0.544176642390996,Peabody,3,Northeast,53070
01966,7212,0.3321329450915142,0.5403296173044925,0.040743094841930116,0.17994126455906823,0.18765191347753743,Rockport,3,Northeast,7282
01969,6298,0.1179,0.288,0.0636,0.1735,0.07,Rowley,3,Northeast,6473
01970,43302,0.5832129624497714,0.5068689090573184,0.6390135767401043,0.6630391667821347,0.6386260657706341,Salem,3,Northeast,43226
01982,8020,0.22857890274314216,0.38239907730673317,0.1345198753117207,0.5817465710723192,0.2823136159600998,Hamilton,3,Northeast,8051
01983,6551,0.2769,0.8953000000000001,0.1429,0.21600000000000003,0.3219,Topsfield,3,Northeast,6641
01984,5208,0.024,0.1005,0.2468,0.7503,0.1675,Wenham,3,Northeast,5278
01985,4581,0.2666,0.528,0.1237,0.24210000000000004,0.2093,West Newbury,3,Northeast,4714
02019,17016,0.34498302773859896,0.2099654442877292,0.22681937000470145,0.16259304184297135,0.14919670897978374,Bellingham,2,Central,17270
02021,23134,0.22909119045560647,0.516946325754301,0.4717590386444195,0.5173958070372611,0.4131867727154837,Canton,4,Metro West,23805
02025,8449,0.1878,0.5616,0.0096,0.3313,0.1833,Cohasset,4,Metro West,8548
02026,25377,0.28445486464121056,0.36530176931867436,0.4559800843283288,0.542666958269299,0.41123478740591873,Dedham,4,Metro West,25219
02030,5987,0.0014,0.4446,0.3206,0.05280000000000001,0.0309,Dover,4,Metro West,6127
02032,6865,0.2029,0.3474999999999999,0.3787,0.025399999999999995,0.0741,Walpole,4,Metro West,25200
02035,17535,0.38854105503279157,0.5983282919874537,0.18380852010265186,0.3536102309666382,0.3414833076703735,Foxborough,4,Metro West,18399
02038,33022,0.22967507419296226,0.292869992732118,0.255281206468415,0.20341818181818183,0.1620663315365514,Franklin,2,Central,34087
02043,23298,0.07868490857584343,0.4872689844621856,0.0987854622714396,0.2687287535410765,0.13406525452828572,Hingham,4,Metro West,24679
02045,10424,0.33189378357636223,0.4288348810437453,0.18782538372985416,0.14392173829623944,0.18539641212586339,Hull,4,Metro West,10475
02047,6964,0.2282,0.5773,0.1818,0.1948,0.1956,Scituate,4,Metro West,18924
02048,23761,0.22297835528807708,0.23139973065106687,0.3333053785615084,0.42823247338074993,0.2582072892555027,Mansfield,5,Southeast,24470
02050,32718,0.3585409315972859,0.5852238920471912,0.142755281496424,0.19389081239684577,0.23841669723088207,Marshfield,5,Southeast,25967
