date,Town,quartile.SVI_overall,town_population,Count2wk,SVI_overall,eohhs_name
2021-03-18,Dalton,2,6525,13,0.3522169740973312,Western
2021-03-18,Watertown,2,35939,61,0.36007133066620284,Metro West
2021-03-18,Newton,2,88414,150,0.36064495800021995,Metro West
2021-03-18,Gloucester,2,30430,74,0.3608929248893474,Northeast
2021-03-18,Beverly,2,42174,112,0.36422173204572145,Northeast
2021-03-18,Whitman,2,15216,49,0.36540242630840186,Southeast
2021-03-18,Sunderland,2,3629,19,0.3693,Western
2021-03-18,Whately,2,1567,0,0.3693,Western
2021-03-18,Lunenburg,2,11736,23,0.3741587791677757,Central
2021-03-18,Monterey,2,924,1,0.37449706661234466,Western
2021-03-18,Leverett,2,1837,0,0.3747,Western
2021-03-18,New Salem,2,1021,0,0.3747,Western
2021-03-18,Shutesbury,2,1754,1,0.3747,Western
2021-03-18,Hancock,2,696,0,0.37538682766190995,Western
2021-03-18,New Ashford,2,223,0,0.37538682766190995,Western
2021-03-18,South Boston,2,40094,169,0.3755004697562392,Boston
2021-03-18,Northfield,2,2958,2,0.37820000000000004,Western
2021-03-18,Middleborough,2,25463,56,0.3811866108957356,Southeast
2021-03-18,Bridgewater,2,27619,79,0.38398384866376634,Southeast
2021-03-18,Easthampton,2,15829,29,0.39007504482294936,Western
2021-03-18,Westhampton,2,1637,0,0.39007504482294936,Western
2021-03-18,Medford,2,57341,161,0.3907115972106923,Northeast
2021-03-18,Weston,2,12124,24,0.39082625341841387,Metro West
2021-03-18,Burlington,2,28627,62,0.392104416275546,Metro West
2021-03-18,Arlington,2,45531,76,0.3927953494704559,Metro West
2021-03-18,Bedford,2,14123,0,0.3928912431776834,Metro West
2021-03-18,Marion,2,5188,4,0.394,Southeast
2021-03-18,Somerville,2,81360,221,0.3943876105023306,Metro West
2021-03-18,North Andover,2,31188,80,0.39554672921638495,Northeast
2021-03-18,East Bridgewater,2,14526,23,0.3966290351730849,Southeast
2021-03-18,Hopedale,2,5951,12,0.3988,Central
2021-03-18,Charlestown,2,19414,73,0.3991709333470691,Boston
2021-03-18,Southwick,2,9740,25,0.399201511257325,Western
2021-03-18,Ayer,2,8196,19,0.407,Central
2021-03-18,Dracut,2,31634,106,0.41074265016311645,Northeast
2021-03-18,Westwood,2,16400,23,0.410875483512412,Metro West
2021-03-18,Dedham,2,25219,89,0.41123478740591873,Metro West
2021-03-18,Spencer,2,11935,37,0.41166926047175356,Central
2021-03-18,Wilbraham,2,14689,43,0.41178614024490695,Western
2021-03-18,Canton,2,23805,102,0.4131867727154837,Metro West
2021-03-18,Harvard,2,6620,4,0.41550423004547593,Central
2021-03-18,Concord,2,18918,29,0.4159401707438459,Metro West
2021-03-18,Lanesborough,2,2940,0,0.41674514528703044,Western
2021-03-18,Hatfield,2,3251,10,0.41870000000000007,Western
2021-03-18,Amesbury,2,17532,17,0.41872763839337096,Northeast
2021-03-18,Agawam,2,28613,74,0.4227385500857213,Western
2021-03-18,Monson,2,8787,24,0.4241113092297327,Western
2021-03-18,Hudson,2,19864,48,0.4249634336621704,Metro West
2021-03-18,Holland,2,2482,2,0.4262,Central
2021-03-18,Wales,2,1874,2,0.4262,Central
2021-03-18,Carver,2,11767,20,0.4290752937140897,Southeast
2021-03-18,Wellfleet,2,2724,5,0.4292525004682524,Southeast
2021-03-18,Stockbridge,2,1890,1,0.4296,Western
2021-03-18,West Brookfield,2,3727,11,0.42987779632721207,Central
2021-03-18,Millville,2,3257,12,0.4316999999999999,Central
2021-03-18,Longmeadow,2,15705,26,0.4323373552739539,Western
2021-03-18,Merrimac,2,6960,13,0.43450000000000005,Northeast
2021-03-18,Rockland,2,17986,63,0.4356365123680831,Southeast
2021-03-18,Kingston,2,13863,43,0.4395180255586279,Southeast
2021-03-18,Brookfield,2,3452,4,0.4426999999999999,Central
2021-03-18,Brookline,2,59121,92,0.4427995816695189,Boston
2021-03-18,East Longmeadow,2,16192,41,0.44385202469135804,Western
2021-03-18,Cambridge,2,118927,248,0.44386702062197264,Metro West
2021-03-18,Winthrop,2,18544,62,0.4498762881035878,Boston
2021-03-18,Grafton,2,18883,70,0.45239594689662993,Central
2021-03-18,Somerset,2,18129,32,0.4524839091964608,Southeast
2021-03-18,Stoughton,2,28915,68,0.45277120334709486,Southeast
2021-03-18,Shelburne,2,1837,1,0.45410169986878207,Western
2021-03-18,Danvers,2,27549,55,0.454587333067931,Northeast
2021-03-18,Oxford,2,14009,26,0.4548224814713148,Central
2021-03-18,Egremont,2,1205,4,0.45612348411934556,Western
2021-03-18,Leicester,2,11341,25,0.4610422267287424,Central
2021-03-18,Barre,2,5578,20,0.4612,Central
2021-03-18,Norwood,2,29725,77,0.46282779699325366,Metro West
2021-03-18,Dennis,2,13871,34,0.46373121548844504,Southeast
2021-03-18,Brimfield,2,3680,8,0.464,Central
2021-03-18,West Boylston,2,8077,7,0.4675452000565531,Central
2021-03-18,Sturbridge,2,9597,24,0.4684786410821013,Central
2021-03-18,Weymouth,2,57746,156,0.4763061811183747,Metro West
2021-03-18,Lancaster,2,8082,26,0.4804,Central
2021-03-18,North Attleborough,2,29364,104,0.4817314374286883,Southeast
2021-03-18,Woburn,2,40228,128,0.482981892353695,Metro West
2021-03-18,Holbrook,2,11033,29,0.4841833725987677,Southeast
2021-03-18,Milford,2,29101,112,0.4845874863477501,Central
2021-03-18,Clinton,2,14000,38,0.4861303115332039,Central
2021-03-18,Braintree,2,37190,135,0.49260792861558306,Metro West
2021-03-18,Hadley,2,5342,9,0.4928,Western
2021-03-18,Dudley,2,11773,23,0.4950816812189694,Central
2021-03-18,Williamstown,2,7434,10,0.49774551589242055,Western
2021-03-18,Dartmouth,3,34188,95,0.5015555016784782,Southeast
2021-03-18,Bernardston,3,2090,2,0.5024,Western
2021-03-18,Gill,3,1465,4,0.5024,Western
2021-03-18,Leyden,3,715,1,0.5024,Western
2021-03-18,Otis,3,1539,0,0.5038,Western
2021-03-18,Sandisfield,3,891,1,0.5038,Western
2021-03-18,Templeton,3,8138,12,0.5066291349809886,Central
2021-03-18,Back Bay Downtown,3,55698,161,0.5099104373419312,Boston
2021-03-18,Salisbury,3,9534,2,0.5102291128244109,Northeast
2021-03-18,Attleboro,3,45237,136,0.5106474278373591,Southeast
2021-03-18,Waltham,3,62495,255,0.5143622830345723,Metro West
2021-03-18,Fairhaven,3,16078,48,0.518450742543367,Southeast
2021-03-18,Shrewsbury,3,38526,96,0.5185445244922053,Central
2021-03-18,Adams,3,8010,5,0.5196306241184767,Western
2021-03-18,Ashburnham,3,6348,12,0.5204444526280549,Central
2021-03-18,Middleton,3,10110,19,0.523,Northeast
2021-03-18,Swampscott,3,15298,33,0.5255620061548698,Northeast
2021-03-18,Pelham,3,1313,0,0.5284776215950041,Western
2021-03-18,Great Barrington,3,6945,8,0.5313805282680472,Western
2021-03-18,Westfield,3,41204,110,0.5323587362502052,Western
2021-03-18,West Roxbury,3,28487,67,0.5327960371189094,Boston
2021-03-18,Amherst,3,39924,220,0.5353010584903818,Western
2021-03-18,Avon,3,4549,24,0.536,Southeast
2021-03-18,Raynham,3,14470,39,0.5366996780912706,Southeast
2021-03-18,Framingham,3,74416,285,0.5431750443038718,Metro West
2021-03-18,Peabody,3,53070,176,0.544176642390996,Northeast
2021-03-18,Ludlow,3,21233,84,0.5473232470941133,Western
2021-03-18,Orange,3,7582,7,0.5539210209078923,Western
2021-03-18,Pittsfield,3,42142,57,0.5623749401277275,Western
2021-03-18,Allston Brighton,3,66585,194,0.5659213148057858,Boston
2021-03-18,West Springfield,3,28517,102,0.5684341275378497,Western
2021-03-18,Lenox,3,4944,5,0.5725347410358566,Western
2021-03-18,Gardner,3,20683,35,0.5772364076141405,Central
2021-03-18,Erving,3,1750,3,0.5841,Western
2021-03-18,Warwick,3,769,1,0.5841,Western
2021-03-18,Wendell,3,878,0,0.5841,Western
2021-03-18,Provincetown,3,2961,7,0.5854,Southeast
2021-03-18,Northampton,3,28451,51,0.5881651366724602,Western
2021-03-18,Petersham,3,1250,3,0.5930437345763642,Western
2021-03-18,Greenfield,3,17258,22,0.5964984371419405,Western
2021-03-18,Montague,3,8212,12,0.5965098572864321,Western
2021-03-18,Wareham,3,22745,56,0.5970067627035027,Southeast
2021-03-18,Quincy,3,94470,281,0.5973709676268617,Metro West
2021-03-18,Jamaica Plain,3,40377,78,0.5978199962794158,Boston
2021-03-18,Taunton,3,57464,147,0.6030009231909612,Southeast
2021-03-18,Palmer,3,12232,39,0.605219844789357,Western
2021-03-18,Methuen,3,50706,192,0.6068451288510366,Northeast
2021-03-18,Haverhill,3,64014,230,0.6140824470058464,Northeast
2021-03-18,Marlborough,3,39597,115,0.616249253318584,Metro West
2021-03-18,Athol,3,11732,26,0.6275264220433775,Western
2021-03-18,Phillipston,3,1746,3,0.6275264220433775,Western
2021-03-18,Buckland,3,1850,1,0.6307,Western
2021-03-18,Saugus,3,28361,108,0.6337984096932979,Northeast
2021-03-18,Charlemont,3,1233,0,0.6340692567160584,Western
2021-03-18,Hawley,3,334,0,0.6340692567160584,Western
2021-03-18,Lee,3,5664,24,0.6365734154400722,Western
2021-03-18,Colrain,3,1661,5,0.6369,Western
2021-03-18,Heath,3,695,0,0.6369,Western
2021-03-18,Monroe,3,115,0,0.6369,Western
2021-03-18,Rowe,3,389,0,0.6369,Western
2021-03-18,Salem,3,43226,126,0.6386260657706341,Northeast
2021-03-18,Hardwick,3,3057,4,0.6596,Central
2021-03-18,New Braintree,3,1024,1,0.6596,Central
2021-03-18,Acushnet,3,10625,34,0.662546470842956,Southeast
2021-03-18,Winchendon,3,10905,27,0.6697719016557954,Central
2021-03-18,Florida,3,715,1,0.6706,Western
2021-03-18,Savoy,3,675,1,0.6706,Western
2021-03-18,Webster,3,16949,35,0.6710597489835602,Central
2021-03-18,Shirley,3,7636,4,0.6733,Central
2021-03-18,Fenway,3,54727,173,0.6803044497865044,Boston
2021-03-18,Roslindale,3,33771,84,0.6889500552841606,Boston
2021-03-18,Royalston,3,1277,9,0.6896282685512367,Western
2021-03-18,Chicopee,3,55126,214,0.6913100400684502,Western
2021-03-18,Ware,3,9711,26,0.6935157051055717,Western
