Day of c_Calendar Date,c_SelectTrend,c_Census Net Difference,c_Census,c_COVID 19+ label %,c_COVID 19+ label,c_dynamictotallabel,t_Census % Difference Label,c_Census Exclude COVID Status
12/01/22,COVID-19,2,136,1,136,,1.5%,
11/30/22,COVID-19,-3,134,1,134,,-2.2%,
11/29/22,COVID-19,6,137,1,137,,4.6%,
11/28/22,COVID-19,12,131,1,131,,10.1%,
11/27/22,COVID-19,13,119,1,119,,12.3%,
11/26/22,COVID-19,8,106,1,106,,8.2%,
11/25/22,COVID-19,-4,98,1,98,,-3.9%,
11/24/22,COVID-19,18,102,1,102,,21.4%,
11/23/22,COVID-19,-1,84,1,84,,-1.2%,
11/22/22,COVID-19,-1,85,1,85,,-1.2%,
11/21/22,COVID-19,-14,86,1,86,,-14.0%,
11/20/22,COVID-19,11,100,1,100,,12.4%,
11/19/22,COVID-19,-9,89,1,89,,-9.2%,
11/18/22,COVID-19,-14,98,1,98,,-12.5%,
11/17/22,COVID-19,4,112,1,112,,3.7%,
11/16/22,COVID-19,2,108,1,108,,1.9%,
11/15/22,COVID-19,-4,106,1,106,,-3.6%,
11/14/22,COVID-19,-1,110,1,110,,-0.9%,
11/13/22,COVID-19,3,111,1,111,,2.8%,
11/12/22,COVID-19,10,108,1,108,,10.2%,
11/11/22,COVID-19,0,98,1,98,,0.0%,
11/10/22,COVID-19,0,98,1,98,,0.0%,
11/09/22,COVID-19,-4,98,1,98,,-3.9%,
11/08/22,COVID-19,4,102,1,102,,4.1%,
11/07/22,COVID-19,-1,98,1,98,,-1.0%,
11/06/22,COVID-19,6,99,1,99,,6.5%,
11/05/22,COVID-19,4,93,1,93,,4.5%,
11/04/22,COVID-19,-16,89,1,89,,-15.2%,
11/03/22,COVID-19,1,105,1,105,,1.0%,
11/02/22,COVID-19,1,104,1,104,,1.0%,
11/01/22,COVID-19,-1,103,1,103,,-1.0%,
10/31/22,COVID-19,-11,104,1,104,,-9.6%,
10/30/22,COVID-19,-2,115,1,115,,-1.7%,
10/29/22,COVID-19,4,117,1,117,,3.5%,
10/28/22,COVID-19,9,113,1,113,,8.7%,
10/27/22,COVID-19,1,104,1,104,,1.0%,
10/26/22,COVID-19,-13,103,1,103,,-11.2%,
10/25/22,COVID-19,-17,116,1,116,,-12.8%,
10/24/22,COVID-19,4,133,1,133,,3.1%,
10/23/22,COVID-19,-7,129,1,129,,-5.1%,
10/22/22,COVID-19,-7,136,1,136,,-4.9%,
10/21/22,COVID-19,-16,143,1,143,,-10.1%,
10/20/22,COVID-19,-4,159,1,159,,-2.5%,
10/19/22,COVID-19,-9,163,1,163,,-5.2%,
10/18/22,COVID-19,-7,172,1,172,,-3.9%,
10/17/22,COVID-19,8,179,1,179,,4.7%,
10/16/22,COVID-19,13,171,1,171,,8.2%,
10/15/22,COVID-19,2,158,1,158,,1.3%,
10/14/22,COVID-19,3,156,1,156,,2.0%,
10/13/22,COVID-19,5,153,1,153,,3.4%,
10/12/22,COVID-19,-9,148,1,148,,-5.7%,
10/11/22,COVID-19,13,157,1,157,,9.0%,
10/10/22,COVID-19,5,144,1,144,,3.6%,
10/09/22,COVID-19,15,139,1,139,,12.1%,
10/08/22,COVID-19,4,124,1,124,,3.3%,
10/07/22,COVID-19,-5,120,1,120,,-4.0%,
10/06/22,COVID-19,1,125,1,125,,0.8%,
10/05/22,COVID-19,10,124,1,124,,8.8%,
10/04/22,COVID-19,-16,114,1,114,,-12.3%,
10/03/22,COVID-19,0,130,1,130,,0.0%,
10/02/22,COVID-19,15,130,1,130,,13.0%,
10/01/22,COVID-19,2,115,1,115,,1.8%,
09/30/22,COVID-19,-12,113,1,113,,-9.6%,
09/29/22,COVID-19,0,125,1,125,,0.0%,
09/28/22,COVID-19,-5,125,1,125,,-3.8%,
09/27/22,COVID-19,11,130,1,130,,9.2%,
09/26/22,COVID-19,5,119,1,119,,4.4%,
09/25/22,COVID-19,5,114,1,114,,4.6%,
09/24/22,COVID-19,1,109,1,109,,0.9%,
09/23/22,COVID-19,-6,108,1,108,,-5.3%,
09/22/22,COVID-19,-4,114,1,114,,-3.4%,
09/21/22,COVID-19,5,118,1,118,,4.4%,
09/20/22,COVID-19,11,113,1,113,,10.8%,
09/19/22,COVID-19,-2,102,1,102,,-1.9%,
09/18/22,COVID-19,4,104,1,104,,4.0%,
09/17/22,COVID-19,-2,100,1,100,,-2.0%,
09/16/22,COVID-19,8,102,1,102,,8.5%,
09/15/22,COVID-19,-1,94,1,94,,-1.1%,
09/14/22,COVID-19,-5,95,1,95,,-5.0%,
09/13/22,COVID-19,-9,100,1,100,,-8.3%,
09/12/22,COVID-19,7,109,1,109,,6.9%,
09/11/22,COVID-19,-3,102,1,102,,-2.9%,
09/10/22,COVID-19,-4,105,1,105,,-3.7%,
09/09/22,COVID-19,-1,109,1,109,,-0.9%,
09/08/22,COVID-19,4,110,1,110,,3.8%,
09/07/22,COVID-19,-18,106,1,106,,-14.5%,
09/06/22,COVID-19,5,124,1,124,,4.2%,
09/05/22,COVID-19,-6,119,1,119,,-4.8%,
09/04/22,COVID-19,7,125,1,125,,5.9%,
09/03/22,COVID-19,-5,118,1,118,,-4.1%,
09/02/22,COVID-19,3,123,1,123,,2.5%,
09/01/22,COVID-19,-1,120,1,120,,-0.8%,
08/31/22,COVID-19,-3,121,1,121,,-2.4%,
08/30/22,COVID-19,-5,124,1,124,,-3.9%,
08/29/22,COVID-19,8,129,1,129,,6.6%,
08/28/22,COVID-19,2,121,1,121,,1.7%,
08/27/22,COVID-19,-1,119,1,119,,-0.8%,
08/26/22,COVID-19,-4,120,1,120,,-3.2%,
08/25/22,COVID-19,5,124,1,124,,4.2%,
08/24/22,COVID-19,-3,119,1,119,,-2.5%,
08/23/22,COVID-19,-5,122,1,122,,-3.9%,
08/22/22,COVID-19,1,127,1,127,,0.8%,
08/21/22,COVID-19,9,126,1,126,,7.7%,
08/20/22,COVID-19,-1,117,1,117,,-0.8%,
08/19/22,COVID-19,1,118,1,118,,0.9%,
08/18/22,COVID-19,-7,117,1,117,,-5.6%,
08/17/22,COVID-19,8,124,1,124,,6.9%,
08/16/22,COVID-19,2,116,1,116,,1.8%,
08/15/22,COVID-19,-6,114,1,114,,-5.0%,
08/14/22,COVID-19,4,120,1,120,,3.4%,
08/13/22,COVID-19,-2,116,1,116,,-1.7%,
08/12/22,COVID-19,-1,118,1,118,,-0.8%,
08/11/22,COVID-19,0,119,1,119,,0.0%,
08/10/22,COVID-19,1,119,1,119,,0.8%,
08/09/22,COVID-19,-9,118,1,118,,-7.1%,
08/08/22,COVID-19,2,127,1,127,,1.6%,
08/07/22,COVID-19,7,125,1,125,,5.9%,
08/06/22,COVID-19,10,118,1,118,,9.3%,
08/05/22,COVID-19,-5,108,1,108,,-4.4%,
08/04/22,COVID-19,-12,113,1,113,,-9.6%,
08/03/22,COVID-19,4,125,1,125,,3.3%,
08/02/22,COVID-19,10,121,1,121,,9.0%,
08/01/22,COVID-19,-4,111,1,111,,-3.5%,
07/31/22,COVID-19,9,115,1,115,,8.5%,
07/30/22,COVID-19,-5,106,1,106,,-4.5%,
07/29/22,COVID-19,-3,111,1,111,,-2.6%,
07/28/22,COVID-19,4,114,1,114,,3.6%,
07/27/22,COVID-19,0,110,1,110,,0.0%,
07/26/22,COVID-19,-1,110,1,110,,-0.9%,
07/25/22,COVID-19,1,111,1,111,,0.9%,
07/24/22,COVID-19,3,110,1,110,,2.8%,
07/23/22,COVID-19,-9,107,1,107,,-7.8%,
07/22/22,COVID-19,-2,116,1,116,,-1.7%,
07/21/22,COVID-19,-3,118,1,118,,-2.5%,
07/20/22,COVID-19,-12,121,1,121,,-9.0%,
07/19/22,COVID-19,-7,133,1,133,,-5.0%,
07/18/22,COVID-19,1,140,1,140,,0.7%,
07/17/22,COVID-19,8,139,1,139,,6.1%,
07/16/22,COVID-19,13,131,1,131,,11.0%,
07/15/22,COVID-19,-4,118,1,118,,-3.3%,
07/14/22,COVID-19,-2,122,1,122,,-1.6%,
07/13/22,COVID-19,-2,124,1,124,,-1.6%,
07/12/22,COVID-19,-5,126,1,126,,-3.8%,
07/11/22,COVID-19,7,131,1,131,,5.6%,
07/10/22,COVID-19,10,124,1,124,,8.8%,
07/09/22,COVID-19,4,114,1,114,,3.6%,
07/08/22,COVID-19,-9,110,1,110,,-7.6%,
07/07/22,COVID-19,0,119,1,119,,0.0%,
07/06/22,COVID-19,-2,119,1,119,,-1.7%,
07/05/22,COVID-19,7,121,1,121,,6.1%,
07/04/22,COVID-19,0,114,1,114,,0.0%,
07/03/22,COVID-19,6,114,1,114,,5.6%,
07/02/22,COVID-19,6,108,1,108,,5.9%,
07/01/22,COVID-19,-2,102,1,102,,-1.9%,
06/30/22,COVID-19,-3,104,1,104,,-2.8%,
06/29/22,COVID-19,5,107,1,107,,4.9%,
06/28/22,COVID-19,-2,102,1,102,,-1.9%,
06/27/22,COVID-19,-2,104,1,104,,-1.9%,
06/26/22,COVID-19,-1,106,1,106,,-0.9%,
06/25/22,COVID-19,2,107,1,107,,1.9%,
06/24/22,COVID-19,-12,105,1,105,,-10.3%,
06/23/22,COVID-19,20,117,1,117,,20.6%,
06/22/22,COVID-19,-2,97,1,97,,-2.0%,
06/21/22,COVID-19,3,99,1,99,,3.1%,
06/20/22,COVID-19,5,96,1,96,,5.5%,
06/19/22,COVID-19,-2,91,1,91,,-2.2%,
06/18/22,COVID-19,1,93,1,93,,1.1%,
06/17/22,COVID-19,-10,92,1,92,,-9.8%,
06/16/22,COVID-19,2,102,1,102,,2.0%,
06/15/22,COVID-19,-8,100,1,100,,-7.4%,
06/14/22,COVID-19,-8,108,1,108,,-6.9%,
06/13/22,COVID-19,-1,116,1,116,,-0.9%,
06/12/22,COVID-19,-10,117,1,117,,-7.9%,
06/11/22,COVID-19,3,127,1,127,,2.4%,
06/10/22,COVID-19,-4,124,1,124,,-3.1%,
06/09/22,COVID-19,11,128,1,128,,9.4%,
06/08/22,COVID-19,5,117,1,117,,4.5%,
06/07/22,COVID-19,-14,112,1,112,,-11.1%,
06/06/22,COVID-19,-8,126,1,126,,-6.0%,
06/05/22,COVID-19,-3,134,1,134,,-2.2%,
06/04/22,COVID-19,5,137,1,137,,3.8%,
06/03/22,COVID-19,0,132,1,132,,0.0%,
06/02/22,COVID-19,-2,132,1,132,,-1.5%,
06/01/22,COVID-19,-6,134,1,134,,-4.3%,
05/31/22,COVID-19,-3,140,1,140,,-2.1%,
05/30/22,COVID-19,12,143,1,143,,9.2%,
05/29/22,COVID-19,4,131,1,131,,3.1%,
05/28/22,COVID-19,0,127,1,127,,0.0%,
05/27/22,COVID-19,-21,127,1,127,,-14.2%,
05/26/22,COVID-19,-14,148,1,148,,-8.6%,
05/25/22,COVID-19,-13,162,1,162,,-7.4%,
05/24/22,COVID-19,-9,175,1,175,,-4.9%,
05/23/22,COVID-19,7,184,1,184,,4.0%,
05/22/22,COVID-19,6,177,1,177,,3.5%,
05/21/22,COVID-19,0,171,1,171,,0.0%,
05/20/22,COVID-19,-5,171,1,171,,-2.8%,
05/19/22,COVID-19,-13,176,1,176,,-6.9%,
05/18/22,COVID-19,-1,189,1,189,,-0.5%,
05/17/22,COVID-19,4,190,1,190,,2.2%,
05/16/22,COVID-19,-6,186,1,186,,-3.1%,
05/15/22,COVID-19,0,192,1,192,,0.0%,
05/14/22,COVID-19,13,192,1,192,,7.3%,
05/13/22,COVID-19,-9,179,1,179,,-4.8%,
05/12/22,COVID-19,1,188,1,188,,0.5%,
05/11/22,COVID-19,-3,187,1,187,,-1.6%,
05/10/22,COVID-19,8,190,1,190,,4.4%,
05/09/22,COVID-19,2,182,1,182,,1.1%,
05/08/22,COVID-19,4,180,1,180,,2.3%,
05/07/22,COVID-19,9,176,1,176,,5.4%,
05/06/22,COVID-19,15,167,1,167,,9.9%,
05/05/22,COVID-19,16,152,1,152,,11.8%,
05/04/22,COVID-19,10,136,1,136,,7.9%,
05/03/22,COVID-19,12,126,1,126,,10.5%,
05/02/22,COVID-19,7,114,1,114,,6.5%,
05/01/22,COVID-19,12,107,1,107,,12.6%,
04/30/22,COVID-19,8,95,1,95,,9.2%,
04/29/22,COVID-19,0,87,1,87,,0.0%,
04/28/22,COVID-19,9,87,1,87,,11.5%,
04/27/22,COVID-19,6,78,1,78,,8.3%,
04/26/22,COVID-19,-4,72,1,72,,-5.3%,
04/25/22,COVID-19,-4,76,1,76,,-5.0%,
04/24/22,COVID-19,-4,80,1,80,,-4.8%,
04/23/22,COVID-19,6,84,1,84,,7.7%,
04/22/22,COVID-19,2,78,1,78,,2.6%,
04/21/22,COVID-19,-5,76,1,76,,-6.2%,
04/20/22,COVID-19,12,81,1,81,,17.4%,
04/19/22,COVID-19,-1,69,1,69,,-1.4%,
04/18/22,COVID-19,16,70,1,70,,29.6%,
04/17/22,COVID-19,0,54,1,54,,0.0%,
04/16/22,COVID-19,-2,54,1,54,,-3.6%,
04/15/22,COVID-19,3,56,1,56,,5.7%,
04/14/22,COVID-19,-5,53,1,53,,-8.6%,
04/13/22,COVID-19,-1,58,1,58,,-1.7%,
04/12/22,COVID-19,5,59,1,59,,9.3%,
04/11/22,COVID-19,5,54,1,54,,10.2%,
04/10/22,COVID-19,1,49,1,49,,2.1%,
04/09/22,COVID-19,-3,48,1,48,,-5.9%,
04/08/22,COVID-19,0,51,1,51,,0.0%,
04/07/22,COVID-19,-3,51,1,51,,-5.6%,
04/06/22,COVID-19,4,54,1,54,,8.0%,
04/05/22,COVID-19,-6,50,1,50,,-10.7%,
04/04/22,COVID-19,-12,56,1,56,,-17.6%,
04/03/22,COVID-19,7,68,1,68,,11.5%,
04/02/22,COVID-19,12,61,1,61,,24.5%,
04/01/22,COVID-19,-4,49,1,49,,-7.5%,
03/31/22,COVID-19,2,53,1,53,,3.9%,
03/30/22,COVID-19,2,51,1,51,,4.1%,
03/29/22,COVID-19,1,49,1,49,,2.1%,
03/28/22,COVID-19,5,48,1,48,,11.6%,
03/27/22,COVID-19,3,43,1,43,,7.5%,
03/26/22,COVID-19,3,40,1,40,,8.1%,
03/25/22,COVID-19,-3,37,1,37,,-7.5%,
03/24/22,COVID-19,0,40,1,40,,0.0%,
03/23/22,COVID-19,-7,40,1,40,,-14.9%,
03/22/22,COVID-19,6,47,1,47,,14.6%,
03/21/22,COVID-19,-1,41,1,41,,-2.4%,
03/20/22,COVID-19,1,42,1,42,,2.4%,
03/19/22,COVID-19,3,41,1,41,,7.9%,
03/18/22,COVID-19,2,38,1,38,,5.6%,
03/17/22,COVID-19,-13,36,1,36,,-26.5%,
03/16/22,COVID-19,6,49,1,49,,14.0%,
03/15/22,COVID-19,3,43,1,43,,7.5%,
03/14/22,COVID-19,-1,40,1,40,,-2.4%,
03/13/22,COVID-19,-6,41,1,41,,-12.8%,
03/12/22,COVID-19,4,47,1,47,,9.3%,
03/11/22,COVID-19,4,43,1,43,,10.3%,
03/10/22,COVID-19,-8,39,1,39,,-17.0%,
03/09/22,COVID-19,-2,47,1,47,,-4.1%,
03/08/22,COVID-19,8,49,1,49,,19.5%,
03/07/22,COVID-19,-6,41,1,41,,-12.8%,
03/06/22,COVID-19,-9,47,1,47,,-16.1%,
03/05/22,COVID-19,1,56,1,56,,1.8%,
03/04/22,COVID-19,6,55,1,55,,12.2%,
03/03/22,COVID-19,-10,49,1,49,,-16.9%,
03/02/22,COVID-19,-12,59,1,59,,-16.9%,
03/01/22,COVID-19,-8,71,1,71,,-10.1%,
02/28/22,COVID-19,1,79,1,79,,1.3%,
02/27/22,COVID-19,-2,78,1,78,,-2.5%,
02/26/22,COVID-19,4,80,1,80,,5.3%,
02/25/22,COVID-19,-8,76,1,76,,-9.5%,
02/24/22,COVID-19,-11,84,1,84,,-11.6%,
02/23/22,COVID-19,-4,95,1,95,,-4.0%,
02/22/22,COVID-19,2,99,1,99,,2.1%,
02/21/22,COVID-19,0,97,1,97,,0.0%,
02/20/22,COVID-19,-11,97,1,97,,-10.2%,
02/19/22,COVID-19,-2,108,1,108,,-1.8%,
02/18/22,COVID-19,2,110,1,110,,1.9%,
02/17/22,COVID-19,-6,108,1,108,,-5.3%,
02/16/22,COVID-19,-14,114,1,114,,-10.9%,
02/15/22,COVID-19,-11,128,1,128,,-7.9%,
02/14/22,COVID-19,-12,139,1,139,,-7.9%,
02/13/22,COVID-19,1,151,1,151,,0.7%,
02/12/22,COVID-19,-15,150,1,150,,-9.1%,
02/11/22,COVID-19,-27,165,1,165,,-14.1%,
02/10/22,COVID-19,-2,192,1,192,,-1.0%,
02/09/22,COVID-19,-26,194,1,194,,-11.8%,
02/08/22,COVID-19,-37,220,1,220,,-14.4%,
02/07/22,COVID-19,4,257,1,257,,1.6%,
02/06/22,COVID-19,-6,253,1,253,,-2.3%,
02/05/22,COVID-19,-17,259,1,259,,-6.2%,
02/04/22,COVID-19,1,276,1,276,,0.4%,
02/03/22,COVID-19,-33,275,1,275,,-10.7%,
02/02/22,COVID-19,-17,308,1,308,,-5.2%,
02/01/22,COVID-19,-20,325,1,325,,-5.8%,
01/31/22,COVID-19,-34,345,1,345,,-9.0%,
01/30/22,COVID-19,-18,379,1,379,,-4.5%,
01/29/22,COVID-19,33,397,1,397,,9.1%,
01/28/22,COVID-19,-40,364,1,364,,-9.9%,
01/27/22,COVID-19,-34,404,1,404,,-7.8%,
01/26/22,COVID-19,-32,438,1,438,,-6.8%,
01/25/22,COVID-19,-17,470,1,470,,-3.5%,
01/24/22,COVID-19,-6,487,1,487,,-1.2%,
01/23/22,COVID-19,-10,493,1,493,,-2.0%,
01/22/22,COVID-19,7,503,1,503,,1.4%,
01/21/22,COVID-19,-47,496,1,496,,-8.7%,
01/20/22,COVID-19,-39,543,1,543,,-6.7%,
01/19/22,COVID-19,-8,582,1,582,,-1.4%,
01/18/22,COVID-19,5,590,1,590,,0.9%,
01/17/22,COVID-19,-8,585,1,585,,-1.3%,
01/16/22,COVID-19,4,593,1,593,,0.7%,
01/15/22,COVID-19,-6,589,1,589,,-1.0%,
01/14/22,COVID-19,-8,595,1,595,,-1.3%,
01/13/22,COVID-19,12,603,1,603,,2.0%,
01/12/22,COVID-19,2,591,1,591,,0.3%,
01/11/22,COVID-19,2,589,1,589,,0.3%,
01/10/22,COVID-19,23,587,1,587,,4.1%,
01/09/22,COVID-19,20,564,1,564,,3.7%,
01/08/22,COVID-19,30,544,1,544,,5.8%,
01/07/22,COVID-19,18,514,1,514,,3.6%,
01/06/22,COVID-19,16,496,1,496,,3.3%,
01/05/22,COVID-19,3,480,1,480,,0.6%,
01/04/22,COVID-19,37,477,1,477,,8.4%,
01/03/22,COVID-19,1,440,1,440,,0.2%,
01/02/22,COVID-19,44,439,1,439,,11.1%,
01/01/22,COVID-19,22,395,1,395,,5.9%,
12/31/21,COVID-19,5,373,1,373,,1.4%,
12/30/21,COVID-19,6,368,1,368,,1.7%,
12/29/21,COVID-19,32,362,1,362,,9.7%,
12/28/21,COVID-19,29,330,1,330,,9.6%,
12/27/21,COVID-19,23,301,1,301,,8.3%,
12/26/21,COVID-19,15,278,1,278,,5.7%,
12/25/21,COVID-19,6,263,1,263,,2.3%,
12/24/21,COVID-19,2,257,1,257,,0.8%,
12/23/21,COVID-19,-24,255,1,255,,-8.6%,
12/22/21,COVID-19,4,279,1,279,,1.5%,
12/21/21,COVID-19,5,275,1,275,,1.9%,
12/20/21,COVID-19,-7,270,1,270,,-2.5%,
12/19/21,COVID-19,13,277,1,277,,4.9%,
12/18/21,COVID-19,17,264,1,264,,6.9%,
12/17/21,COVID-19,6,247,1,247,,2.5%,
12/16/21,COVID-19,-7,241,1,241,,-2.8%,
12/15/21,COVID-19,2,248,1,248,,0.8%,
12/14/21,COVID-19,7,246,1,246,,2.9%,
12/13/21,COVID-19,9,239,1,239,,3.9%,
12/12/21,COVID-19,-2,230,1,230,,-0.9%,
12/11/21,COVID-19,20,232,1,232,,9.4%,
12/10/21,COVID-19,9,212,1,212,,4.4%,
12/09/21,COVID-19,4,203,1,203,,2.0%,
12/08/21,COVID-19,-11,199,1,199,,-5.2%,
12/07/21,COVID-19,2,210,1,210,,1.0%,
12/06/21,COVID-19,23,208,1,208,,12.4%,
12/05/21,COVID-19,11,185,1,185,,6.3%,
12/04/21,COVID-19,15,174,1,174,,9.4%,
12/03/21,COVID-19,7,159,1,159,,4.6%,
12/02/21,COVID-19,5,152,1,152,,3.4%,
12/01/21,COVID-19,7,147,1,147,,5.0%,
11/30/21,COVID-19,-11,140,1,140,,-7.3%,
11/29/21,COVID-19,0,151,1,151,,0.0%,
11/28/21,COVID-19,7,151,1,151,,4.9%,
11/27/21,COVID-19,8,144,1,144,,5.9%,
11/26/21,COVID-19,-6,136,1,136,,-4.2%,
11/25/21,COVID-19,-2,142,1,142,,-1.4%,
11/24/21,COVID-19,-1,144,1,144,,-0.7%,
11/23/21,COVID-19,-5,145,1,145,,-3.3%,
11/22/21,COVID-19,9,150,1,150,,6.4%,
11/21/21,COVID-19,6,141,1,141,,4.4%,
11/20/21,COVID-19,7,135,1,135,,5.5%,
11/19/21,COVID-19,-12,128,1,128,,-8.6%,
11/18/21,COVID-19,22,140,1,140,,18.6%,
11/17/21,COVID-19,-9,118,1,118,,-7.1%,
11/16/21,COVID-19,4,127,1,127,,3.3%,
11/15/21,COVID-19,1,123,1,123,,0.8%,
11/14/21,COVID-19,17,122,1,122,,16.2%,
11/13/21,COVID-19,4,105,1,105,,4.0%,
11/12/21,COVID-19,1,101,1,101,,1.0%,
11/11/21,COVID-19,5,100,1,100,,5.3%,
11/10/21,COVID-19,-2,95,1,95,,-2.1%,
11/09/21,COVID-19,2,97,1,97,,2.1%,
11/08/21,COVID-19,4,95,1,95,,4.4%,
11/07/21,COVID-19,4,91,1,91,,4.6%,
11/06/21,COVID-19,-4,87,1,87,,-4.4%,
11/05/21,COVID-19,-1,91,1,91,,-1.1%,
11/04/21,COVID-19,6,92,1,92,,7.0%,
11/03/21,COVID-19,3,86,1,86,,3.6%,
11/02/21,COVID-19,-1,83,1,83,,-1.2%,
11/01/21,COVID-19,2,84,1,84,,2.4%,
10/31/21,COVID-19,3,82,1,82,,3.8%,
10/30/21,COVID-19,1,79,1,79,,1.3%,
10/29/21,COVID-19,-2,78,1,78,,-2.5%,
10/28/21,COVID-19,0,80,1,80,,0.0%,
10/27/21,COVID-19,-2,80,1,80,,-2.4%,
10/26/21,COVID-19,3,82,1,82,,3.8%,
10/25/21,COVID-19,-7,79,1,79,,-8.1%,
10/24/21,COVID-19,5,86,1,86,,6.2%,
10/23/21,COVID-19,-3,81,1,81,,-3.6%,
10/22/21,COVID-19,-8,84,1,84,,-8.7%,
10/21/21,COVID-19,1,92,1,92,,1.1%,
10/20/21,COVID-19,6,91,1,91,,7.1%,
10/19/21,COVID-19,-16,85,1,85,,-15.8%,
10/18/21,COVID-19,-5,101,1,101,,-4.7%,
10/17/21,COVID-19,0,106,1,106,,0.0%,
10/16/21,COVID-19,3,106,1,106,,2.9%,
10/15/21,COVID-19,5,103,1,103,,5.1%,
10/14/21,COVID-19,3,98,1,98,,3.2%,
10/13/21,COVID-19,4,95,1,95,,4.4%,
10/12/21,COVID-19,9,91,1,91,,11.0%,
10/11/21,COVID-19,2,82,1,82,,2.5%,
10/10/21,COVID-19,-6,80,1,80,,-7.0%,
10/09/21,COVID-19,4,86,1,86,,4.9%,
10/08/21,COVID-19,-2,82,1,82,,-2.4%,
10/07/21,COVID-19,-13,84,1,84,,-13.4%,
10/06/21,COVID-19,-6,97,1,97,,-5.8%,
10/05/21,COVID-19,1,103,1,103,,1.0%,
10/04/21,COVID-19,-11,102,1,102,,-9.7%,
10/03/21,COVID-19,-1,113,1,113,,-0.9%,
10/02/21,COVID-19,4,114,1,114,,3.6%,
10/01/21,COVID-19,-1,110,1,110,,-0.9%,
09/30/21,COVID-19,2,111,1,111,,1.8%,
09/29/21,COVID-19,6,109,1,109,,5.8%,
09/28/21,COVID-19,1,103,1,103,,1.0%,
09/27/21,COVID-19,-9,102,1,102,,-8.1%,
09/26/21,COVID-19,7,111,1,111,,6.7%,
09/25/21,COVID-19,4,104,1,104,,4.0%,
09/24/21,COVID-19,-3,100,1,100,,-2.9%,
09/23/21,COVID-19,6,103,1,103,,6.2%,
09/22/21,COVID-19,-3,97,1,97,,-3.0%,
09/21/21,COVID-19,-5,100,1,100,,-4.8%,
09/20/21,COVID-19,-4,105,1,105,,-3.7%,
09/19/21,COVID-19,2,109,1,109,,1.9%,
09/18/21,COVID-19,1,107,1,107,,0.9%,
09/17/21,COVID-19,-16,106,1,106,,-13.1%,
09/16/21,COVID-19,-1,122,1,122,,-0.8%,
09/15/21,COVID-19,7,123,1,123,,6.0%,
09/14/21,COVID-19,4,116,1,116,,3.6%,
09/13/21,COVID-19,0,112,1,112,,0.0%,
09/12/21,COVID-19,10,112,1,112,,9.8%,
09/11/21,COVID-19,-4,102,1,102,,-3.8%,
09/10/21,COVID-19,5,106,1,106,,5.0%,
09/09/21,COVID-19,-5,101,1,101,,-4.7%,
09/08/21,COVID-19,-3,106,1,106,,-2.8%,
09/07/21,COVID-19,4,109,1,109,,3.8%,
09/06/21,COVID-19,-2,105,1,105,,-1.9%,
09/05/21,COVID-19,0,107,1,107,,0.0%,
09/04/21,COVID-19,9,107,1,107,,9.2%,
09/03/21,COVID-19,-6,98,1,98,,-5.8%,
09/02/21,COVID-19,-5,104,1,104,,-4.6%,
09/01/21,COVID-19,0,109,1,109,,0.0%,
08/31/21,COVID-19,-3,109,1,109,,-2.7%,
08/30/21,COVID-19,-3,112,1,112,,-2.6%,
08/29/21,COVID-19,9,115,1,115,,8.5%,
08/28/21,COVID-19,-7,106,1,106,,-6.2%,
08/27/21,COVID-19,3,113,1,113,,2.7%,
08/26/21,COVID-19,-2,110,1,110,,-1.8%,
08/25/21,COVID-19,-4,112,1,112,,-3.4%,
08/24/21,COVID-19,-13,116,1,116,,-10.1%,
08/23/21,COVID-19,-1,129,1,129,,-0.8%,
08/22/21,COVID-19,12,130,1,130,,10.2%,
08/21/21,COVID-19,5,118,1,118,,4.4%,
